<TICKER>,<DATE>,<OPEN_TAR>,<HIGH_TAR>,<LOW_TAR>,<CLOSE_TAR>,<VOL_TAR>,<OPEN_DEP1>,<HIGH_DEP1>,<LOW_DEP1>,<CLOSE_DEP1>
SBER,20100111,86.5600000,88.1700000,85.5100000,86.6900000,148661237,30.1851000,30.1851000,30.1851000,30.1851000
SBER,20100112,86.5500000,86.7700000,84.9000000,85.0000000,130276079,29.4283000,29.4283000,29.4283000,29.4283000
SBER,20100113,84.4000000,87.2300000,84.1000000,86.6100000,128684773,29.3774000,29.3774000,29.3774000,29.3774000
SBER,20100114,87.5000000,87.8700000,86.7500000,87.5500000,111263614,29.6409000,29.6409000,29.6409000,29.6409000
SBER,20100115,87.4700000,88.6700000,87.1600000,88.1500000,142060148,29.4299000,29.4299000,29.4299000,29.4299000
SBER,20100118,87.8600000,90.6500000,87.7900000,90.4900000,179399350,29.5603000,29.5603000,29.5603000,29.5603000
SBER,20100119,90.5200000,92.2000000,88.8000000,92.0200000,268915291,29.5963000,29.5963000,29.5963000,29.5963000
SBER,20100120,92.0200000,92.4900000,90.4200000,90.6200000,220273259,29.5184000,29.5184000,29.5184000,29.5184000
SBER,20100121,91.2600000,91.6500000,88.9200000,89.1800000,219353508,29.6941000,29.6941000,29.6941000,29.6941000
SBER,20100122,88.4600000,89.0600000,85.7500000,86.5000000,221223200,29.7486000,29.7486000,29.7486000,29.7486000
SBER,20100125,85.6800000,88.8000000,85.3300000,88.0700000,175080927,29.7458000,29.7458000,29.7458000,29.7458000
SBER,20100126,86.9900000,87.0500000,84.9500000,85.8400000,196309817,30.0946000,30.0946000,30.0946000,30.0946000
SBER,20100127,85.6100000,88.0000000,85.0700000,86.6400000,207632861,30.3136000,30.3136000,30.3136000,30.3136000
SBER,20100128,88.0100000,88.7500000,86.5000000,87.1500000,172741879,30.2921000,30.2921000,30.2921000,30.2921000
SBER,20100129,86.4500000,88.8000000,86.0100000,88.4100000,187904545,30.3631000,30.3631000,30.3631000,30.3631000
SBER,20100201,87.6100000,88.1000000,86.8500000,87.6900000,146350984,30.4312000,30.4312000,30.4312000,30.4312000
SBER,20100202,88.4000000,88.4400000,87.3400000,88.0500000,129237704,30.3996000,30.3996000,30.3996000,30.3996000
SBER,20100203,88.7100000,89.8000000,87.9900000,88.0800000,188403393,30.1830000,30.1830000,30.1830000,30.1830000
SBER,20100204,88.1100000,88.4700000,84.3300000,84.7700000,192625819,29.8779000,29.8779000,29.8779000,29.8779000
SBER,20100205,83.2000000,84.1900000,80.8900000,83.0900000,275196742,30.0054000,30.0054000,30.0054000,30.0054000
SBER,20100208,83.0000000,84.0500000,79.0100000,79.0100000,250195115,30.4666000,30.4666000,30.4666000,30.4666000
SBER,20100209,80.0000000,80.8900000,78.1000000,80.3500000,317328427,30.5158000,30.5158000,30.5158000,30.5158000
SBER,20100210,81.0000000,83.4400000,79.4200000,81.4900000,280007434,30.3735000,30.3735000,30.3735000,30.3735000
SBER,20100211,83.0100000,83.8200000,81.5800000,82.6700000,277065238,30.2462000,30.2462000,30.2462000,30.2462000
SBER,20100212,83.3700000,83.6200000,79.2800000,80.0000000,206984515,30.1245000,30.1245000,30.1245000,30.1245000
SBER,20100215,80.0300000,81.3000000,79.4700000,80.3800000,114945530,30.1595000,30.1595000,30.1595000,30.1595000
SBER,20100216,81.0300000,83.3000000,80.8400000,83.2500000,169047169,30.2207000,30.2207000,30.2207000,30.2207000
SBER,20100217,83.8500000,83.9400000,82.1300000,82.4700000,168244557,30.1176000,30.1176000,30.1176000,30.1176000
SBER,20100218,82.0000000,82.1500000,78.3500000,79.8900000,255135658,29.9761000,29.9761000,29.9761000,29.9761000
SBER,20100219,78.0400000,79.7900000,76.5800000,79.1700000,285754341,30.1138000,30.1138000,30.1138000,30.1138000
SBER,20100224,78.5900000,79.3200000,75.4000000,75.9900000,230570120,30.1510000,30.1510000,30.1510000,30.1510000
SBER,20100225,75.6200000,76.0700000,73.2300000,74.8800000,262173157,30.0309000,30.0309000,30.0309000,30.0309000
SBER,20100226,75.6500000,76.1000000,74.5400000,75.1500000,200684796,30.0521000,30.0521000,30.0521000,30.0521000
SBER,20100227,75.2000000,76.5400000,74.8500000,76.3000000,59782034,30.0388000,30.0388000,30.0388000,30.0388000
SBER,20100301,77.0000000,80.6200000,76.7100000,80.2600000,300393303,29.9484000,29.9484000,29.9484000,29.9484000
SBER,20100302,80.0700000,83.0900000,79.9100000,82.4400000,289848945,29.9300000,29.9300000,29.9300000,29.9300000
SBER,20100303,82.4100000,83.6400000,80.9100000,82.9200000,251148010,29.9779000,29.9779000,29.9779000,29.9779000
SBER,20100304,82.2500000,83.6000000,81.4000000,82.9500000,236190367,29.8140000,29.8140000,29.8140000,29.8140000
SBER,20100305,83.5900000,87.4000000,83.4500000,87.2000000,291353816,29.8217000,29.8217000,29.8217000,29.8217000
SBER,20100309,86.9800000,89.6500000,86.4000000,89.4100000,298059505,29.8366000,29.8366000,29.8366000,29.8366000
SBER,20100310,89.1500000,90.1000000,87.0400000,87.1400000,243696376,29.7499000,29.7499000,29.7499000,29.7499000
SBER,20100311,87.0100000,88.6700000,86.4400000,87.4100000,212772246,29.7249000,29.7249000,29.7249000,29.7249000
SBER,20100312,88.0400000,89.7000000,87.6200000,89.1000000,205490388,29.5195000,29.5195000,29.5195000,29.5195000
SBER,20100315,88.3000000,89.6300000,87.6300000,87.8200000,185407663,29.3897000,29.3897000,29.3897000,29.3897000
SBER,20100316,88.4200000,89.3000000,87.7000000,89.0000000,183894998,29.3353000,29.3353000,29.3353000,29.3353000
SBER,20100317,90.0000000,90.4700000,88.7600000,89.3500000,161150578,29.4242000,29.4242000,29.4242000,29.4242000
SBER,20100318,89.0400000,90.9200000,88.3800000,89.7000000,277537003,29.1927000,29.1927000,29.1927000,29.1927000
SBER,20100319,90.0700000,90.4800000,87.8200000,88.0400000,185913824,29.2223000,29.2223000,29.2223000,29.2223000
SBER,20100322,87.5100000,87.6900000,85.8700000,86.3400000,173641847,29.2565000,29.2565000,29.2565000,29.2565000
SBER,20100323,87.0300000,87.2000000,85.1100000,86.0300000,186587327,29.3389000,29.3389000,29.3389000,29.3389000
SBER,20100324,86.4800000,87.3700000,84.7500000,86.9500000,225687473,29.4707000,29.4707000,29.4707000,29.4707000
SBER,20100325,86.7300000,87.2900000,85.3000000,86.0000000,180920974,29.5764000,29.5764000,29.5764000,29.5764000
SBER,20100326,86.0000000,86.4500000,84.4700000,84.6000000,151824666,29.6572000,29.6572000,29.6572000,29.6572000
SBER,20100329,84.5000000,86.0500000,84.0500000,85.4600000,147336373,29.5142000,29.5142000,29.5142000,29.5142000
SBER,20100330,85.8600000,86.6500000,84.3300000,85.1000000,160213070,29.6309000,29.6309000,29.6309000,29.6309000
SBER,20100331,84.9000000,87.1000000,84.4500000,85.8000000,203764682,29.3638000,29.3638000,29.3638000,29.3638000
SBER,20100401,86.4100000,88.0000000,86.1100000,87.8300000,155894270,29.4956000,29.4956000,29.4956000,29.4956000
SBER,20100402,88.0000000,88.8600000,87.4300000,88.1800000,101089808,29.4394000,29.4394000,29.4394000,29.4394000
