<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20181115;0;67.0722000;67.2594000;65.7543000;65.8490000;522440
USDRUB;D;20181116;0;65.8871000;66.2014000;65.6015000;66.0592000;494434
USDRUB;D;20181119;0;65.9914000;66.1161000;65.4500000;65.5824000;438355
USDRUB;D;20181120;0;65.5921000;66.2344000;65.4597000;66.1482000;505412
USDRUB;D;20181121;0;66.1520000;66.4494000;65.4890000;65.6660000;433606
USDRUB;D;20181122;0;65.6709000;66.1473000;65.3643000;65.6599000;327103
USDRUB;D;20181123;0;65.6637000;66.4090000;65.2900000;66.1754000;500929
USDRUB;D;20181126;0;66.4303000;67.3465000;66.1730000;67.1039000;445306
USDRUB;D;20181127;0;67.1187000;67.3730000;66.4132000;67.0660000;473869
USDRUB;D;20181128;0;67.0558000;67.5357000;66.5780000;67.0190000;523742
USDRUB;D;20181129;0;67.0716000;67.5596000;65.8792000;66.1350000;554991
USDRUB;D;20181130;0;66.2215000;67.2150000;65.4835000;66.9900000;518059
USDRUB;D;20181203;0;67.0820000;67.1348000;65.6477000;66.5060000;552264
USDRUB;D;20181204;0;66.4978000;66.8988000;66.1488000;66.7760000;586018
USDRUB;D;20181205;0;66.7760000;66.9439000;66.3787000;66.5438000;420574
USDRUB;D;20181206;0;66.5581000;67.2320000;65.7996000;66.8660000;566797
USDRUB;D;20181207;0;66.8664000;67.0750000;65.9553000;66.3700000;549127
USDRUB;D;20181210;0;66.3776000;66.7448000;66.0893000;66.6260000;597702
