<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20181127;0;67.1187000;67.3730000;66.4132000;67.0660000;473869
USDRUB;D;20181128;0;67.0558000;67.5357000;66.5780000;67.0190000;523742
USDRUB;D;20181129;0;67.0716000;67.5596000;65.8792000;66.1350000;554991
USDRUB;D;20181130;0;66.2215000;67.2150000;65.4835000;66.9900000;518059
USDRUB;D;20181203;0;67.0820000;67.1348000;65.6477000;66.5060000;552264
USDRUB;D;20181204;0;66.4978000;66.8988000;66.1488000;66.7760000;586018
USDRUB;D;20181205;0;66.7760000;66.9439000;66.3787000;66.5438000;420574
USDRUB;D;20181206;0;66.5581000;67.2320000;65.7996000;66.8660000;566797
USDRUB;D;20181207;0;66.8664000;67.0750000;65.9553000;66.3700000;549127
USDRUB;D;20181210;0;66.3776000;66.7448000;66.0893000;66.6260000;597702
USDRUB;D;20181105;0;66.1340000;66.4600000;65.7151000;66.0181000;62380
USDRUB;D;20181106;0;66.0570000;66.1553000;65.6437000;66.0930000;330417
USDRUB;D;20181107;0;66.1226000;66.3300000;65.7775000;66.3100000;364681
USDRUB;D;20181108;0;66.3261000;66.9589000;66.0907000;66.8795000;464003
USDRUB;D;20181109;0;66.8748000;68.1942000;66.7153000;67.9080000;503393
USDRUB;D;20181112;0;67.9025000;67.9872000;67.0565000;67.8863000;383317
USDRUB;D;20181113;0;67.8914000;68.1536000;67.4866000;68.1015000;521420
USDRUB;D;20181114;0;68.1224000;68.2667000;66.9588000;67.0521000;500617
