<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20141031;0;41.4547000;43.1366000;41.4072000;43.0322000;95184
USDRUB;D;20141103;0;43.1758000;43.6175000;43.1471000;43.5873000;163475
USDRUB;D;20141104;0;43.5911000;43.8006000;43.4850000;43.5678000;38242
USDRUB;D;20141105;0;43.5845000;45.0068000;43.5643000;44.9000000;217777
USDRUB;D;20141106;0;44.9000000;46.8710000;44.7786000;46.8320000;205326
USDRUB;D;20141107;0;46.8270000;48.6445000;45.5778000;46.6655000;93142
USDRUB;D;20141110;0;45.8200000;46.0200000;44.9354000;45.7775000;18580
USDRUB;D;20141111;0;45.8227000;47.0063000;45.6400000;46.4300000;17860
USDRUB;D;20141112;0;46.3678000;46.5400000;45.5035000;45.8205000;29669
USDRUB;D;20141113;0;45.8134000;46.8350000;44.5805000;46.7193000;158916
USDRUB;D;20141114;0;46.7349000;47.8503000;46.5780000;47.2775000;149057
USDRUB;D;20141117;0;47.2650000;47.5001000;46.9400000;47.1481000;236771
USDRUB;D;20141118;0;47.1191000;47.2376000;46.5705000;46.8899000;213845
USDRUB;D;20141119;0;46.8693000;47.1200000;46.5737000;46.8125000;229317
USDRUB;D;20141120;0;46.8208000;46.8974000;46.1019000;46.1357000;198721
USDRUB;D;20141121;0;46.1359000;46.3910000;45.2996000;45.6897000;205014
USDRUB;D;20141124;0;44.7011000;45.1616000;44.6572000;45.0013000;170245
USDRUB;D;20141125;0;45.0011000;46.3450000;44.5967000;46.2355000;176048
USDRUB;D;20141126;0;46.2355000;47.4200000;46.0175000;47.4200000;227143
USDRUB;D;20141127;0;47.4155000;49.2780000;46.6889000;49.1342000;179879
USDRUB;D;20141128;0;49.1006000;50.6855000;48.6160000;50.4397000;137395
USDRUB;D;20141201;0;49.3420000;53.8952000;49.3420000;51.1845000;62037
USDRUB;D;20141202;0;50.5897000;54.3970000;50.4722000;54.1825000;122563
USDRUB;D;20141203;0;53.8529000;54.8971000;52.5687000;53.2877000;111701
USDRUB;D;20141204;0;53.4845000;54.4974000;52.1128000;54.3835000;70217
USDRUB;D;20141205;0;54.3950000;54.3950000;52.5025000;52.7985000;123252
USDRUB;D;20141208;0;52.9720000;53.9025000;52.6010000;53.7170000;179155
USDRUB;D;20141209;0;53.7432000;54.3542000;53.3940000;54.1125000;235285
USDRUB;D;20141210;0;54.1202000;54.8713000;54.0440000;54.8650000;181446
USDRUB;D;20141211;0;54.8505000;56.6975000;54.3270000;56.5245000;170902
USDRUB;D;20141212;0;56.5000000;58.6127000;55.9128000;58.1600000;124134
USDRUB;D;20141215;0;58.2100000;66.0042000;57.5878000;65.8970000;100249
USDRUB;D;20141216;0;65.9759000;79.5151000;58.2345000;68.3220000;43904
USDRUB;D;20141217;0;68.0610000;72.3087000;58.9754000;61.0450000;196998
USDRUB;D;20141218;0;61.3822000;63.8318000;56.9991000;61.8350000;279598
USDRUB;D;20141219;0;61.4633000;63.1025000;57.2121000;60.5950000;89402
USDRUB;D;20141222;0;59.6000000;59.6000000;53.7644000;55.3620000;124291
USDRUB;D;20141223;0;55.8565000;57.0012000;52.4891000;54.6350000;168677
USDRUB;D;20141224;0;54.6350000;55.5995000;52.8580000;53.4665000;61402
USDRUB;D;20141226;0;51.3500000;54.7385000;49.6630000;53.5897000;61146
USDRUB;D;20141229;0;53.9520000;58.9051000;53.4571000;57.4641000;115984
USDRUB;D;20150105;0;58.5300000;62.7320000;56.6874000;60.1817000;130538
USDRUB;D;20150106;0;61.7597000;64.2241000;59.1606000;62.3742000;155618
USDRUB;D;20150108;0;62.6700000;62.8950000;58.5183000;59.1579000;222129
USDRUB;D;20150109;0;60.7353000;62.0212000;58.2601000;61.1993000;208408
USDRUB;D;20150112;0;61.5400000;63.4337000;60.5000000;62.8750000;158263
USDRUB;D;20150113;0;63.0344000;67.6490000;62.8270000;65.2350000;141526
USDRUB;D;20150114;0;65.3165000;66.6969000;62.1594000;64.2300000;189519
USDRUB;D;20150115;0;64.7894000;66.4571000;62.8782000;64.9560000;160093
USDRUB;D;20150116;0;64.7700000;65.6440000;62.9980000;65.1410000;149596
USDRUB;D;20150119;0;65.3300000;65.6832000;61.5885000;64.9382000;240215
USDRUB;D;20150120;0;64.9962000;65.7345000;62.2246000;65.0071000;217515
USDRUB;D;20150121;0;65.1031000;66.1967000;64.0627000;65.1614000;206669
USDRUB;D;20150122;0;65.3650000;65.5845000;62.9299000;63.7105000;288479
USDRUB;D;20150123;0;64.0871000;65.4566000;60.5517000;63.8450000;282527
USDRUB;D;20150126;0;63.8608000;69.1950000;63.4067000;68.0762000;282637
USDRUB;D;20150127;0;67.8833000;68.7621000;65.0097000;66.6364000;289115
USDRUB;D;20150128;0;67.9650000;68.2050000;65.9530000;67.4456000;288417
USDRUB;D;20150129;0;67.8200000;69.5015000;66.8050000;68.5961000;295941
USDRUB;D;20150130;0;68.8940000;71.8497000;67.6026000;68.7099000;297855
