<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB_TOD;D;01.11.2010;0;30.6795;30.88;30.6795;30.87;773999000
USDRUB_TOD;D;02.11.2010;0;30.7724;30.836;30.735;30.7675;941928000
USDRUB_TOD;D;03.11.2010;0;30.778;30.8139;30.72;30.7511;1100596000
USDRUB_TOD;D;08.11.2010;0;30.78;30.8455;30.7376;30.79;895277000
USDRUB_TOD;D;09.11.2010;0;30.87;30.8929;30.5601;30.6;1202682000
USDRUB_TOD;D;10.11.2010;0;30.8199;30.82;30.5801;30.705;1280685000
USDRUB_TOD;D;12.11.2010;0;30.74;30.8324;30.6984;30.7625;1584912000
USDRUB_TOD;D;15.11.2010;0;30.8415;31.12;30.831;30.9575;1116862000
USDRUB_TOD;D;16.11.2010;0;31.05;31.13;31.0231;31.0955;1120566000
USDRUB_TOD;D;17.11.2010;0;31.2806;31.3875;31.2801;31.3825;1252281000
USDRUB_TOD;D;18.11.2010;0;31.218;31.2399;31.0355;31.0549;858066000
USDRUB_TOD;D;19.11.2010;0;30.9544;31.0345;30.9015;31.005;1456673000
USDRUB_TOD;D;22.11.2010;0;31.094;31.094;30.9506;31.005;914195000
USDRUB_TOD;D;23.11.2010;0;31.334;31.334;31.1899;31.2175;1322349000
USDRUB_TOD;D;24.11.2010;0;31.38;31.385;31.2425;31.36;1687237000
USDRUB_TOD;D;26.11.2010;0;31.35;31.51;31.3125;31.4368;1691402000
USDRUB_TOD;D;29.11.2010;0;31.41;31.4224;31.245;31.33;1640037000
USDRUB_TOD;D;30.11.2010;0;31.415;31.4475;31.28;31.41;1627448000
USDRUB_TOD;D;01.12.2010;0;31.496;31.8225;31.411;31.48;1371696000
USDRUB_TOD;D;02.12.2010;0;31.35;31.4435;31.295;31.42;1172984000
USDRUB_TOD;D;03.12.2010;0;31.48;31.48;31.18;31.296;1135170000
USDRUB_TOD;D;06.12.2010;0;31.23;31.34;31.2258;31.3229;1203017000
USDRUB_TOD;D;07.12.2010;0;31.255;31.2874;31.1607;31.165;1189696000
USDRUB_TOD;D;08.12.2010;0;31.2238;31.285;31.1211;31.205;1220676000
USDRUB_TOD;D;09.12.2010;0;31.01;31.053;30.9375;31;1068171000
USDRUB_TOD;D;10.12.2010;0;30.87;30.91;30.829;30.888;1133274000
USDRUB_TOD;D;13.12.2010;0;30.96;30.9679;30.85;30.8675;1039059000
USDRUB_TOD;D;14.12.2010;0;30.7;30.7794;30.6625;30.68;1354315000
USDRUB_TOD;D;15.12.2010;0;30.8049;30.8125;30.66;30.7049;1495651000
USDRUB_TOD;D;16.12.2010;0;30.74;30.78;30.73;30.7402;1616205000
USDRUB_TOD;D;17.12.2010;0;30.6399;30.701;30.625;30.6625;1481906000
USDRUB_TOD;D;20.12.2010;0;30.9499;30.9499;30.7405;30.7725;1317337000
USDRUB_TOD;D;21.12.2010;0;30.77;30.77;30.6582;30.7325;1049382000
USDRUB_TOD;D;22.12.2010;0;30.73;30.7589;30.6706;30.6802;1233603000
USDRUB_TOD;D;23.12.2010;0;30.5;30.685;30.5;30.6825;1280944000
USDRUB_TOD;D;24.12.2010;0;30.7349;30.7349;30.3875;30.4419;1101989000
USDRUB_TOD;D;27.12.2010;0;30.3;30.4875;30.3;30.3624;1318500000
USDRUB_TOD;D;28.12.2010;0;30.15;30.35;30.15;30.23;1449772000
USDRUB_TOD;D;29.12.2010;0;30.35;30.5189;30.3275;30.43;1530516000
USDRUB_TOD;D;30.12.2010;0;30.35;30.61;30.35;30.529;1615454000
USDRUB_TOD;D;11.01.2011;0;30.65;30.7199;30.5681;30.6441;1365509000
USDRUB_TOD;D;12.01.2011;0;30.4874;30.4874;30.3047;30.352;1341807000
USDRUB_TOD;D;13.01.2011;0;30.14;30.145;30.05;30.1185;1264226000
USDRUB_TOD;D;14.01.2011;0;30.1;30.1;29.92;30.0199;1668023000
USDRUB_TOD;D;18.01.2011;0;30.05;30.05;29.8516;29.893;1136535000
USDRUB_TOD;D;19.01.2011;0;29.7;29.8585;29.7;29.82;1158836000
USDRUB_TOD;D;20.01.2011;0;29.8;29.943;29.8;29.925;1299775000
USDRUB_TOD;D;21.01.2011;0;29.75;30.05;29.75;29.9655;1352739000
USDRUB_TOD;D;24.01.2011;0;29.95;29.95;29.8049;29.855;926657000
USDRUB_TOD;D;25.01.2011;0;29.95;29.95;29.75;29.7699;1079940000
USDRUB_TOD;D;26.01.2011;0;29.9;29.9;29.7131;29.7568;1053994000
USDRUB_TOD;D;27.01.2011;0;29.64;29.726;29.5805;29.6085;1087445000
