<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;IMPH;IMPL;IMPO;IMPC
USDRUB_TOM;D;07.09.2010;0;30.705;30.8448;30.705;30.83;2891150000;10.06684073;10.06374855;10.04412809;10.06693878
USDRUB_TOM;D;08.09.2010;0;30.8625;30.9599;30.8625;30.91;2921745000;10.03731585;10.05129458;10.05129458;10.02594875
USDRUB_TOM;D;09.09.2010;0;30.8649;30.9275;30.838;30.85;2546732000;9.98953485;9.992061563;10.00077764;9.980588806
USDRUB_TOM;D;10.09.2010;0;30.92;30.925;30.84;30.913;2322954000;9.999191658;10.00064855;10.01785199;10.02042139
USDRUB_TOM;D;13.09.2010;0;30.7026;30.745;30.67;30.7275;2364623000;9.941794665;9.944876783;9.929689521;9.939992883
USDRUB_TOM;D;14.09.2010;0;30.67;30.8137;30.67;30.7625;2826840000;10.0223451;10;9.989382007;10.01139045
USDRUB_TOM;D;15.09.2010;0;30.665;30.9725;30.659;30.97;5108508000;10.05153552;9.996413433;9.998369742;10.06745226
USDRUB_TOM;D;16.09.2010;0;31.0297;31.3899;30.8775;31.34;5886004000;10.13476471;10.07126782;10.11893038;10.11947046
USDRUB_TOM;D;17.09.2010;0;31.1;31.14;30.9427;30.97;3687001000;9.920388405;10.0211157;10.02265571;9.881940013
USDRUB_TOM;D;20.09.2010;0;30.97;31.115;30.915;31.11;2292340000;9.991971741;9.991047969;9.958199357;10.04520504
USDRUB_TOM;D;21.09.2010;0;30.9899;31.1924;30.8801;31.0599;4018988000;10.02487546;9.988710982;10.00642557;9.983895853
USDRUB_TOM;D;22.09.2010;0;30.905;31.0599;30.89;31.03;3765978000;9.957521704;10.00320595;9.972603977;9.99037344
USDRUB_TOM;D;23.09.2010;0;31.05;31.075;30.835;31.025;4348463000;10.00486157;9.982194885;10.04691797;9.998388656
USDRUB_TOM;D;24.09.2010;0;31.02;31.02;30.7601;30.7755;4504510000;9.982300885;9.975709421;9.990338164;9.919580983
USDRUB_TOM;D;27.09.2010;0;30.6601;30.7049;30.5;30.51;4244398000;9.898420374;9.915442408;9.883978079;9.913730077
USDRUB_TOM;D;28.09.2010;0;30.6051;30.6499;30.5225;30.5325;4348811000;9.98208755;10.00737705;9.982061376;10.00737463
USDRUB_TOM;D;29.09.2010;0;30.3701;30.444;30.3627;30.4198;3577101000;9.932821967;9.94764518;9.923215412;9.963088512
USDRUB_TOM;D;30.09.2010;0;30.4699;30.6325;30.45;30.55;4430446000;10.06191696;10.02875238;10.03286127;10.04280107
USDRUB_TOM;D;01.10.2010;0;30.4651;30.5797;30.44;30.48;3923091000;9.982763405;9.996715928;9.998424675;9.977086743
USDRUB_TOM;D;04.10.2010;0;30.4249;30.565;30.4249;30.46;2979995000;9.995192889;9.995039422;9.986804573;9.99343832
USDRUB_TOM;D;05.10.2010;0;30.4819;30.515;30.07;30.09;4929364000;9.98364142;9.883352123;10.01873465;9.878529219
USDRUB_TOM;D;06.10.2010;0;30.01;30.01;29.7599;29.89;5100585000;9.834507619;9.896873961;9.845186816;9.933532735
USDRUB_TOM;D;07.10.2010;0;29.7;29.79;29.57;29.685;4777397000;9.926691103;9.936189302;9.8967011;9.931415189
USDRUB_TOM;D;08.10.2010;0;29.8225;30.0425;29.8225;29.98;4770768000;10.08475999;10.0853906;10.04124579;10.09937679
USDRUB_TOM;D;11.10.2010;0;29.81;29.8949;29.76;29.8725;3227900000;9.950869601;9.979042669;9.995808534;9.964142762
USDRUB_TOM;D;12.10.2010;0;30.01;30.2499;30.01;30.1;5451108000;10.11874935;10.08400538;10.06709158;10.076157
USDRUB_TOM;D;13.10.2010;0;29.9401;30.24;29.9401;30.1;5020587000;9.996727262;9.976707764;9.976707764;10
USDRUB_TOM;D;14.10.2010;0;29.8901;30.0649;29.8751;30.06;5053621000;9.942096561;9.978289986;9.983299989;9.986710963
USDRUB_TOM;D;15.10.2010;0;30.12;30.3;30.08;30.2225;4923935000;10.0781975;10.06858554;10.0769151;10.05405855
USDRUB_TOM;D;18.10.2010;0;30.5175;30.6299;30.4126;30.47;3754322000;10.10887789;10.11057181;10.13197211;10.08189263
USDRUB_TOM;D;19.10.2010;0;30.49;30.5875;30.3626;30.585;3920370000;9.986157317;9.983559446;9.990988777;10.03774204
USDRUB_TOM;D;20.10.2010;0;30.7824;30.9;30.7375;30.9;4949340000;10.10216592;10.12347427;10.0959003;10.10299166
USDRUB_TOM;D;21.10.2010;0;30.725;30.7975;30.6025;30.625;4444669000;9.966828479;9.956079707;9.981352981;9.911003236
USDRUB_TOM;D;22.10.2010;0;30.6001;30.629;30.3301;30.37;4914244000;9.945287767;9.910987664;9.959349064;9.916734694
USDRUB_TOM;D;25.10.2010;0;30.13;30.3;30.1299;30.2475;4370037000;9.892585458;9.933992964;9.846373051;9.959664142
USDRUB_TOM;D;26.10.2010;0;30.3724;30.44;30.34;30.3925;4558415000;10.04620462;10.0697314;10.08045138;10.04793785
USDRUB_TOM;D;27.10.2010;0;30.57;30.7286;30.51;30.65;5328250000;10.09480946;10.05603164;10.06505907;10.08472485
USDRUB_TOM;D;28.10.2010;0;30.68;30.7751;30.6297;30.67;4055153000;10.01513248;10.03923304;10.03598299;10.00652529
USDRUB_TOM;D;29.10.2010;0;30.6976;30.9129;30.62;30.8397;4812464000;10.04477646;9.996833139;10.00573664;10.05533094
USDRUB_TOM;D;01.11.2010;0;30.6774;30.9488;30.6774;30.775;4072283000;10.01161327;10.01874592;9.993419681;9.979020548
USDRUB_TOM;D;02.11.2010;0;30.7351;30.8375;30.69;30.775;3697228000;9.964037378;10.00410726;10.01880863;10
USDRUB_TOM;D;03.11.2010;0;30.7775;30.825;30.7275;30.751;3320589000;9.995946494;10.01221896;10.0137953;9.992201462
USDRUB_TOM;D;08.11.2010;0;30.74;30.8375;30.7359;30.7851;3253926000;10.00405515;10.00273371;9.987815775;10.01108907
USDRUB_TOM;D;09.11.2010;0;30.8401;30.8899;30.5603;30.6255;4960247000;10.0169923;9.942868112;10.03256344;9.948156738
USDRUB_TOM;D;10.11.2010;0;30.8199;30.828;30.61;30.635;4363026000;9.979961088;10.01626293;9.993450086;10.00310199
USDRUB_TOM;D;11.11.2010;0;30.5901;30.6101;30.4675;30.58;3896149000;9.929317504;9.953446586;9.925437785;9.982046679
USDRUB_TOM;D;12.11.2010;0;30.75;30.8375;30.7;30.75;5000938000;10.07428921;10.07631082;10.05227181;10.05559189
USDRUB_TOM;D;13.11.2010;0;30.8649;30.8994;30.761;30.8;556129000;10.02007296;10.01986971;10.03736585;10.01626016
USDRUB_TOM;D;15.11.2010;0;30.84;31.0004;30.83;30.93;3931117000;10.03268672;10.022431;9.991932584;10.04220779
USDRUB_TOM;D;16.11.2010;0;31.05;31.17;31.0249;31.095;4704979000;10.05470897;10.06321765;10.06809339;10.05334627
USDRUB_TOM;D;17.11.2010;0;31.28;31.4789;31.28;31.37;4545580000;10.0991017;10.08222428;10.07407407;10.08843866
USDRUB_TOM;D;18.11.2010;0;31.22;31.24;30.9925;30.9925;4970084000;9.924107894;9.908088235;9.980818414;9.879662098
USDRUB_TOM;D;19.11.2010;0;30.97;31.1175;30.91;31.1055;4748074000;9.960787452;9.973380657;9.919923126;10.03646043
USDRUB_TOM;D;22.11.2010;0;30.9799;31.125;30.9549;31.085;3837250000;10.00241022;10.01452604;10.00319664;9.993409526
USDRUB_TOM;D;23.11.2010;0;31.2325;31.355;31.17;31.3;4668391000;10.07389558;10.06948819;10.08153674;10.06916519
USDRUB_TOM;D;24.11.2010;0;31.3403;31.39;31.25;31.265;4981202000;10.01116249;10.0256657;10.03451533;9.988817891
USDRUB_TOM;D;25.11.2010;0;31.2701;31.3499;31.181;31.2;3963860000;9.987225231;9.97792;9.977600725;9.979209979
USDRUB_TOM;D;26.11.2010;0;31.3201;31.52;31.3201;31.4224;5447544000;10.05425855;10.0446105;10.01598972;10.07128205
