Date,Open,Low,High,Close,Adj Close,Volume
1998-07-01,9.0,9.0,9.5,9.1875,9.1875,752400
1998-07-02,9.3125,9.1875,9.75,9.75,9.75,36900
1998-07-06,9.75,9.75,10.625,10.0625,10.0625,188100
1998-07-07,10.375,10.25,10.5,10.25,10.25,20100
1998-07-08,10.125,10.0,10.5,10.125,10.125,86400
1998-07-09,10.25,10.125,10.5,10.5,10.5,15800
1998-07-10,10.6875,9.75,10.6875,9.75,9.75,96200
1998-07-13,10.25,9.875,10.25,10.0,10.0,93500
1998-07-14,9.875,9.625,10.0,9.75,9.75,60500
1998-07-15,9.625,9.5,9.875,9.75,9.75,61900
1998-07-16,9.625,9.625,9.75,9.625,9.625,13700
1998-07-17,9.75,9.75,9.75,9.75,9.75,4200
1998-07-20,9.875,9.875,10.1875,10.125,10.125,38800
1998-07-21,10.125,10.0,10.25,10.0,10.0,30400
1998-07-22,9.625,9.625,10.25,10.1875,10.1875,22300
1998-07-23,10.0625,10.0,10.625,10.125,10.125,47500
1998-07-24,10.375,10.0,10.375,10.25,10.25,22700
1998-07-27,10.25,9.625,10.25,9.75,9.75,9300
1998-07-28,10.125,9.375,10.125,9.5,9.5,25900
1998-07-29,9.875,9.5,9.875,9.75,9.75,111900
1998-07-30,9.875,9.875,10.875,10.875,10.875,27300
1998-07-31,10.875,10.75,10.875,10.75,10.75,4600
1998-08-03,10.5,10.375,10.5,10.375,10.375,6200
1998-08-04,10.25,9.875,10.25,9.875,9.875,25700
1998-08-05,10.0,9.75,10.0,9.75,9.75,18700
1998-08-06,9.75,9.5,10.125,9.5,9.5,159900
1998-08-07,9.625,9.5,9.625,9.625,9.625,97200
1998-08-10,9.75,9.625,9.75,9.625,9.625,81800
1998-08-11,9.4375,9.0,9.4375,9.0,9.0,44700
1998-08-12,9.0,9.0,9.1875,9.1875,9.1875,11000
1998-08-13,9.1875,9.0,9.1875,9.0,9.0,6100
1998-08-14,9.1875,9.0,9.1875,9.0,9.0,22500
1998-08-17,8.875,8.75,9.0,9.0,9.0,34500
1998-08-18,8.75,8.625,8.875,8.625,8.625,20700
1998-08-19,8.625,8.625,8.75,8.75,8.75,3500
1998-08-20,8.625,8.375,8.625,8.375,8.375,12700
1998-08-21,8.375,8.0,8.375,8.0,8.0,29500
1998-08-24,8.0,8.0,8.125,8.125,8.125,2200
1998-08-25,8.0625,8.0625,8.375,8.375,8.375,18400
1998-08-26,8.0,8.0,8.25,8.0,8.0,9500
1998-08-27,7.75,7.0,7.75,7.25,7.25,37300
1998-08-28,7.25,7.0,7.25,7.0,7.0,2500
1998-08-31,7.0,6.625,7.0,6.625,6.625,6300
1998-09-01,6.625,6.4375,6.75,6.5625,6.5625,50400
1998-09-02,6.25,6.25,6.5,6.25,6.25,18200
1998-09-03,6.25,6.125,6.25,6.125,6.125,6800
1998-09-04,6.25,6.125,6.25,6.125,6.125,21300
1998-09-08,6.25,6.125,6.3125,6.25,6.25,22600
1998-09-09,6.3125,6.25,6.3125,6.25,6.25,85100
1998-09-10,6.0,5.5,6.0625,6.0,6.0,41400
1998-09-11,5.625,5.5,5.6875,5.5,5.5,14800
1998-09-14,5.6875,5.625,5.6875,5.625,5.625,19300
1998-09-15,6.0,5.625,6.125,6.125,6.125,11500
1998-09-16,5.75,5.75,6.625,6.625,6.625,15900
1998-09-17,6.125,6.125,6.5,6.5,6.5,3600
1998-09-18,6.75,6.5,7.25,7.25,7.25,53100
1998-09-21,7.25,7.25,7.25,7.25,7.25,0
1998-09-22,7.0,7.0,7.5,7.25,7.25,17300
1998-09-23,7.5,7.5,8.25,8.09375,8.09375,52000
1998-09-24,8.3125,7.6875,8.3125,8.125,8.125,20300
1998-09-25,8.0,7.4375,8.0,7.5,7.5,7200
