Date,Open,Low,High,Close,Adj Close,Volume
2000-06-30,3.828125,2.65625,4.3125,3.03125,2.608767509460449,19108000.0
2000-07-03,3.0625,3.0546875,3.34375,3.25,2.797029495239258,1930800.0
2000-07-05,3.3125,3.1875,3.4375,3.28125,2.8239238262176514,1640400.0
2000-07-06,3.359375,3.28125,3.703125,3.6875,3.1735522747039795,1689200.0
2000-07-07,3.71875,3.4375,3.78125,3.46875,2.9852912425994873,949600.0
2000-07-10,3.484375,3.34375,3.5,3.359375,2.891160249710083,834400.0
2000-07-11,3.3203125,2.96875,3.3203125,3.0,2.5818734169006348,1237200.0
2000-07-12,3.046875,3.03125,3.21875,3.125,2.6894516944885254,490800.0
2000-07-13,3.1875,2.859375,3.21875,2.875,2.4742953777313232,1202000.0
2000-07-14,2.84375,2.703125,2.90625,2.734375,2.3532698154449463,1261600.0
2000-07-17,2.671875,2.34375,2.6875,2.375,2.04398250579834,1452800.0
2000-07-18,2.3984375,2.046875,2.53125,2.0625,1.7750375270843506,1511200.0
2000-07-19,2.09375,2.046875,2.1875,2.078125,1.788485050201416,577200.0
2000-07-20,2.046875,2.046875,2.1875,2.1875,1.8826158046722412,478000.0
2000-07-21,2.30859375,2.1875,2.46875,2.34375,2.017087936401367,1213600.0
2000-07-24,2.34375,2.03125,2.34375,2.09375,1.8019320964813232,557200.0
2000-07-25,2.03125,1.90625,2.046875,1.9296875,1.6607362031936646,632400.0
2000-07-26,1.875,1.625,1.90625,1.6875,1.4523032903671265,988000.0
2000-07-27,1.59375,1.40625,1.6875,1.484375,1.277489185333252,712800.0
2000-07-28,1.5,1.1875,1.5,1.46875,1.2640420198440552,1780400.0
2000-07-31,1.40234375,1.25,1.609375,1.515625,1.3043837547302246,1295200.0
2000-08-01,1.59375,1.453125,1.59375,1.5,1.2909367084503174,476000.0
2000-08-02,1.4375,1.390625,1.5625,1.46875,1.2640420198440552,508000.0
2000-08-03,1.46875,1.390625,1.4765625,1.453125,1.2505948543548584,358000.0
2000-08-04,1.5,1.40625,1.5,1.453125,1.2505948543548584,234000.0
2000-08-07,1.4453125,1.390625,1.484375,1.453125,1.2505948543548584,143200.0
2000-08-08,1.53125,1.453125,1.546875,1.453125,1.2505948543548584,300400.0
2000-08-09,1.453125,1.453125,1.53125,1.5,1.2909367084503174,273200.0
2000-08-10,1.5,1.4375,1.5,1.46875,1.2640420198440552,193600.0
2000-08-11,1.484375,1.296875,1.484375,1.34375,1.1564640998840332,196800.0
2000-08-14,1.375,1.21875,1.390625,1.25,1.0757805109024048,2551200.0
2000-08-15,1.2421875,1.234375,1.2734375,1.25,1.0757805109024048,272800.0
2000-08-16,1.25,1.234375,1.3125,1.25,1.0757805109024048,456000.0
2000-08-17,1.3125,1.234375,1.453125,1.40625,1.2102526426315308,367600.0
2000-08-18,1.34375,1.3125,1.53125,1.53125,1.317831039428711,475600.0
2000-08-21,1.52734375,1.4375,1.53125,1.5,1.2909367084503174,184800.0
2000-08-22,1.484375,1.484375,1.609375,1.578125,1.3581727743148804,627200.0
2000-08-23,1.5625,1.5,1.5625,1.53125,1.317831039428711,680000.0
2000-08-24,1.5625,1.453125,1.5625,1.515625,1.3043837547302246,268400.0
2000-08-25,1.515625,1.515625,1.8125,1.640625,1.4119619131088257,530000.0
2000-08-28,1.6640625,1.5625,1.6640625,1.625,1.398514747619629,279600.0
2000-08-29,1.640625,1.640625,1.703125,1.65625,1.4254094362258911,292800.0
2000-08-30,1.8046875,1.65625,1.875,1.75,1.5060926675796509,780000.0
2000-08-31,1.734375,1.71875,1.9140625,1.90625,1.640565276145935,1102400.0
2000-09-01,1.890625,1.78125,1.9375,1.875,1.6136707067489624,298800.0
2000-09-05,1.84375,1.71875,1.84375,1.75,1.5060926675796509,203200.0
2000-09-06,1.71875,1.59375,1.75,1.59375,1.3716201782226562,205600.0
2000-09-07,1.625,1.59375,1.6875,1.65625,1.4254094362258911,106000.0
2000-09-08,1.625,1.5625,1.65625,1.5625,1.3447258472442627,98800.0
2000-09-11,1.59375,1.5,1.71875,1.5,1.2909367084503174,248000.0
2000-09-12,1.5625,1.5,1.625,1.59375,1.3716201782226562,576000.0
2000-09-13,1.59375,1.5,1.625,1.546875,1.3312785625457764,48800.0
2000-09-14,1.578125,1.578125,1.65625,1.65625,1.4254094362258911,177200.0
2000-09-15,1.6484375,1.5625,1.71875,1.625,1.398514747619629,117600.0
2000-09-18,1.671875,1.5625,1.671875,1.5625,1.3447258472442627,80400.0
2000-09-19,1.6171875,1.578125,1.78125,1.75,1.5060926675796509,204400.0
2000-09-20,1.78125,1.546875,1.78125,1.5625,1.3447258472442627,151600.0
2000-09-21,1.5625,1.5,1.6171875,1.5,1.2909367084503174,414400.0
2000-09-22,1.46875,1.375,1.484375,1.40625,1.2102526426315308,161200.0
2000-09-25,1.4375,1.4375,1.4921875,1.4375,1.2371476888656616,45200.0
2000-09-26,1.453125,1.34375,1.453125,1.375,1.1833584308624268,179200.0
2000-09-27,1.375,1.34375,1.4375,1.375,1.1833584308624268,518800.0
2000-09-28,1.34375,1.34375,1.375,1.359375,1.1699113845825195,94000.0
2000-09-29,1.3671875,1.34375,1.3671875,1.359375,1.1699113845825195,55600.0
2000-10-02,1.34375,1.28125,1.359375,1.28125,1.102674961090088,382800.0
2000-10-03,1.28125,1.1875,1.34375,1.1875,1.02199125289917,126000.0
2000-10-04,1.19140625,1.15625,1.28125,1.25,1.0757805109024048,231200.0
2000-10-05,1.22265625,1.1875,1.2890625,1.1875,1.02199125289917,112800.0
2000-10-06,1.1875,1.140625,1.234375,1.15625,0.9950969815254211,271600.0
2000-10-09,1.21875,0.9375,1.25,1.046875,0.9009660482406616,419600.0
2000-10-10,1.07421875,0.96875,1.078125,1.03125,0.8875187635421753,370000.0
2000-10-11,0.95703125,0.95703125,1.015625,1.0078125,0.8673480749130249,287600.0
2000-10-12,0.95703125,0.953125,1.0078125,0.953125,0.8202826380729675,228000.0
2000-10-13,1.0,0.8671875,1.0,0.96875,0.8337299227714539,1097600.0
2000-10-16,1.0,0.9375,1.0625,1.0,0.8606243133544922,198800.0
2000-10-17,0.96875,0.890625,1.1875,0.9375,0.8068353533744812,144400.0
2000-10-18,0.9375,0.8125,0.9375,0.875,0.7530463337898254,551600.0
2000-10-19,0.9375,0.921875,1.015625,0.984375,0.8471772074699402,696000.0
2000-10-20,1.015625,1.0,1.15625,1.078125,0.9278609752655029,493600.0
2000-10-23,1.15625,0.984375,1.15625,0.984375,0.8471772074699402,71200.0
2000-10-24,1.0,0.96875,1.0,0.984375,0.8471772074699402,28800.0
2000-10-25,0.984375,0.9375,1.0,0.9453125,0.8135591745376587,76400.0
2000-10-26,0.96875,0.875,0.96875,0.90625,0.7799408435821533,419200.0
2000-10-27,0.9375,0.890625,0.96875,0.90625,0.7799408435821533,18000.0
2000-10-30,0.90625,0.859375,0.9375,0.875,0.7530463337898254,236800.0
