Date,Open,Low,High,Close,Adj Close,Volume
1995-01-03,3.0625,2.9375,3.0625,2.9375,2.9375,57600.0
1995-01-04,2.9375,2.9375,3.03125,3.0,3.0,52000.0
1995-01-05,2.984375,2.96875,3.03125,3.03125,3.03125,20800.0
1995-01-06,2.9375,2.9375,3.0625,3.0625,3.0625,10400.0
1995-01-09,3.015625,3.0,3.015625,3.0,3.0,144800.0
1995-01-10,3.0,3.0,3.09375,3.09375,3.09375,144800.0
1995-01-11,3.0,3.0,3.15625,3.140625,3.140625,48000.0
1995-01-12,3.078125,3.0625,3.125,3.0625,3.0625,67200.0
1995-01-13,3.03125,3.03125,3.09375,3.09375,3.09375,86400.0
1995-01-16,3.03125,3.03125,3.09375,3.09375,3.09375,19200.0
1995-01-17,3.09375,3.03125,3.09375,3.09375,3.09375,20000.0
1995-01-18,3.03125,3.03125,3.15625,3.109375,3.109375,123200.0
1995-01-19,3.0625,3.0625,3.109375,3.0625,3.0625,129600.0
1995-01-20,3.078125,3.0625,3.15625,3.15625,3.15625,66400.0
1995-01-23,3.0625,3.0625,3.15625,3.0625,3.0625,41600.0
1995-01-24,3.0625,3.0625,3.15625,3.0625,3.0625,12000.0
1995-01-25,3.0625,3.0625,3.15625,3.0625,3.0625,24800.0
1995-01-26,3.15625,3.0625,3.15625,3.0625,3.0625,320000.0
1995-01-27,3.0625,3.0,3.15625,3.0,3.0,2804000.0
1995-01-30,3.15625,3.0625,3.15625,3.0625,3.0625,136800.0
1995-01-31,3.0625,3.0625,3.125,3.125,3.125,95200.0
1995-02-01,3.125,3.03125,3.125,3.03125,3.03125,65600.0
1995-02-02,3.03125,3.03125,3.125,3.03125,3.03125,267200.0
1995-02-03,3.109375,3.03125,3.109375,3.0390625,3.0390625,722400.0
1995-02-06,3.109375,3.0,3.109375,3.0,3.0,73600.0
1995-02-07,3.109375,3.0,3.109375,3.109375,3.109375,84800.0
1995-02-08,3.109375,3.09375,3.109375,3.109375,3.109375,38400.0
1995-02-09,3.109375,3.0,3.125,3.0,3.0,174400.0
1995-02-10,3.0078125,3.0,3.09375,3.09375,3.09375,20800.0
1995-02-13,3.09375,3.0,3.09375,3.0,3.0,265600.0
1995-02-14,2.9375,2.90625,3.0,2.90625,2.90625,300000.0
1995-02-15,2.90625,2.875,3.0,2.96875,2.96875,427200.0
1995-02-16,2.96875,2.875,2.96875,2.96875,2.96875,678400.0
