Date,Open,Low,High,Close,Adj Close,Volume
1995-01-03,8.375,8.3125,8.75,8.4375,6.624759197235107,689200.0
1995-01-04,8.5,8.1875,8.625,8.5,6.673832416534424,974000.0
1995-01-05,8.5,8.3125,8.5625,8.4375,6.624759197235107,561000.0
1995-01-06,8.375,8.375,8.625,8.5625,6.722907066345215,841600.0
1995-01-09,8.625,8.625,9.1875,9.1875,7.21362829208374,1360400.0
1995-01-10,9.25,9.25,9.5,9.25,7.26270055770874,3143800.0
1995-01-11,9.4375,8.9375,9.6875,9.625,7.557132244110107,2167400.0
1995-01-12,8.125,8.125,8.6875,8.25,6.477542877197266,6792000.0
1995-01-13,8.3125,8.0,8.5,8.125,6.379398345947266,1990200.0
1995-01-16,8.1875,8.125,8.375,8.3125,6.526614665985107,2897200.0
1995-01-17,8.4375,8.3125,8.5625,8.4375,6.624759197235107,1721800.0
1995-01-18,8.375,8.25,8.4375,8.3125,6.526614665985107,665000.0
1995-01-19,8.25,8.125,8.3125,8.1875,6.428471565246582,834400.0
1995-01-20,8.1875,7.875,8.25,8.0625,6.330327033996582,1671400.0
1995-01-23,8.0,7.625,8.0,7.875,6.183109760284424,1317000.0
1995-01-24,7.9375,7.75,8.0625,7.8125,6.134037017822266,1004400.0
1995-01-25,7.6875,7.5,7.875,7.8125,6.134037017822266,1137400.0
1995-01-26,7.8125,7.6875,7.9375,7.75,6.084965229034424,595800.0
1995-01-27,7.875,7.75,8.0,7.875,6.183109760284424,509400.0
1995-01-30,7.875,7.5,7.9375,7.5625,5.937747478485107,676000.0
1995-01-31,7.5625,7.5,7.75,7.6875,6.035893440246582,731800.0
1995-02-01,7.6875,7.6875,7.9375,7.75,6.084965229034424,503000.0
1995-02-02,7.8125,7.75,7.9375,7.8125,6.134037017822266,324400.0
1995-02-03,7.8125,7.6875,7.9375,7.6875,6.035893440246582,1003200.0
1995-02-06,7.6875,7.6875,7.9375,7.9375,6.232181549072266,718600.0
1995-02-07,7.875,7.75,7.9375,7.75,6.084965229034424,385000.0
1995-02-08,7.8125,7.75,7.9375,7.9375,6.232181549072266,521400.0
1995-02-09,7.875,7.75,8.3125,8.25,6.477542877197266,1429800.0
1995-02-10,8.25,8.1875,8.375,8.25,6.477542877197266,667800.0
1995-02-13,8.1875,8.0625,8.25,8.125,6.379398345947266,591800.0
1995-02-14,8.0625,7.8125,8.125,8.0,6.281254768371582,513800.0
1995-02-15,8.0,8.0,8.0625,8.0625,6.330327033996582,768000.0
1995-02-16,8.0625,7.75,8.0625,7.75,6.084965229034424,914400.0
1995-02-17,7.75,7.625,7.9375,7.875,6.183109760284424,951200.0
1995-02-21,7.9375,7.5625,7.9375,7.625,5.986820697784424,741400.0
1995-02-22,7.625,7.5,7.75,7.5,5.888675689697266,1830000.0
1995-02-23,7.5,7.25,7.5,7.25,5.692387104034424,2592000.0
1995-02-24,7.1875,6.75,7.1875,6.875,5.397952556610107,3115000.0
1995-02-27,6.75,6.625,7.375,7.375,5.790530681610107,2715800.0
1995-02-28,7.3125,7.3125,7.5625,7.5,5.888675689697266,925800.0
1995-03-01,7.4375,7.1875,7.5625,7.3125,5.741458892822266,1173400.0
1995-03-02,7.375,7.25,7.4375,7.25,5.692387104034424,693200.0
1995-03-03,7.3125,7.1875,7.3125,7.25,5.692387104034424,333400.0
1995-03-06,6.9375,6.9375,7.375,7.375,5.790530681610107,832200.0
1995-03-07,7.25,7.125,7.3125,7.1875,5.643314838409424,876200.0
1995-03-08,7.1875,7.1875,7.375,7.25,5.692387104034424,746400.0
1995-03-09,7.375,7.3125,7.5625,7.375,5.790530681610107,667600.0
1995-03-10,7.375,7.1875,7.375,7.1875,5.643314838409424,471600.0
1995-03-13,7.1875,7.1875,7.375,7.3125,5.741458892822266,255400.0
1995-03-14,7.3125,7.1875,7.375,7.25,5.692387104034424,671800.0
1995-03-15,7.25,7.1875,7.3125,7.25,5.692387104034424,537600.0
1995-03-16,7.25,7.1875,7.375,7.25,5.692387104034424,580200.0
1995-03-17,7.1875,6.8125,7.25,6.875,5.397952556610107,2028200.0
1995-03-20,7.0,6.6875,7.0,6.875,5.397952556610107,1642600.0
1995-03-21,6.75,6.5625,6.8125,6.6875,5.250736236572266,2746000.0
1995-03-22,6.625,6.625,6.875,6.8125,5.348880290985107,1001600.0
1995-03-23,6.75,6.6875,6.875,6.875,5.397952556610107,975400.0
1995-03-24,6.875,6.6875,6.9375,6.8125,5.348880290985107,1004000.0
1995-03-27,6.875,6.75,6.9375,6.875,5.397952556610107,1500600.0
1995-03-28,6.9375,6.75,7.0,6.8125,5.348880290985107,888200.0
1995-03-29,6.8125,6.8125,7.25,7.0625,5.545170783996582,2552000.0
1995-03-30,7.1875,6.9375,7.25,7.0,5.496096611022949,1624000.0
1995-03-31,6.9375,6.8125,7.0,6.875,5.397952556610107,433000.0
1995-04-03,6.9375,6.875,7.0,6.9375,5.447025299072266,137400.0
1995-04-04,7.0,6.875,7.0625,6.875,5.397952556610107,241000.0
1995-04-05,6.875,6.75,6.9375,6.8125,5.348880290985107,534800.0
1995-04-06,6.8125,6.6875,6.875,6.8125,5.348880290985107,1120000.0
1995-04-07,6.8125,6.6875,6.875,6.75,5.299807548522949,424600.0
1995-04-10,6.75,6.75,7.125,7.0625,5.545170783996582,1565200.0
1995-04-11,7.125,7.125,7.375,7.25,5.692387104034424,1784200.0
1995-04-12,7.375,7.375,8.0,7.9375,6.232181549072266,5279000.0
1995-04-13,8.125,7.625,8.1875,7.75,6.084965229034424,2622000.0
1995-04-17,7.4375,7.0625,7.625,7.1875,5.643314838409424,4248800.0
1995-04-18,7.3125,7.125,7.5625,7.5,5.888675689697266,1631000.0
1995-04-19,7.5,7.1875,7.5,7.375,5.790530681610107,709800.0
1995-04-20,7.4375,7.3125,7.4375,7.3125,5.741458892822266,286400.0
1995-04-21,7.4375,7.3125,7.5625,7.5,5.888675689697266,1225400.0
1995-04-24,7.4375,7.375,8.0625,8.0625,6.330327033996582,2776000.0
1995-04-25,7.9375,7.8125,8.25,7.8125,6.134037017822266,1658000.0
1995-04-26,7.875,7.8125,7.9375,7.8125,6.134037017822266,418600.0
1995-04-27,7.875,7.875,8.1875,8.125,6.379398345947266,1148000.0
1995-04-28,8.1875,7.9375,8.1875,8.0,6.281254768371582,633000.0
1995-05-01,8.0,7.875,8.0625,8.0625,6.330327033996582,729800.0
1995-05-02,8.0625,8.0,8.25,8.0,6.281254768371582,1518400.0
